scene_type  , class             ,  TP ,  FN , TP_rate ,  FP ,  TN , FP_rate ,  dist
kitchen     , Apple             ,  34 ,  20 ,   0.630 ,  51 , 326 ,   0.135 , 1.783
kitchen     , Bowl              ,  44 ,  26 ,   0.629 ,  62 , 309 ,   0.167 , 1.750
kitchen     , Bread             ,  73 ,  28 ,   0.723 ,  28 , 297 ,   0.086 , 1.989
kitchen     , Cabinet           , 679 ,  40 ,   0.944 , 203 , 139 ,   0.594 , 2.215
kitchen     , CoffeeMachine     ,  93 ,  15 ,   0.861 ,  47 , 278 ,   0.145 , 2.236
kitchen     , CounterTop        , 184 ,  47 ,   0.797 , 132 , 150 ,   0.468 , 1.901
kitchen     , Cup               ,  22 ,  58 ,   0.275 ,  43 , 303 ,   0.124 , 1.760
kitchen     , DishSponge        ,  40 ,  24 ,   0.625 ,  13 , 341 ,   0.037 , 1.624
kitchen     , Egg               ,   9 ,  11 ,   0.450 ,   4 , 391 ,   0.010 , 1.338
kitchen     , Faucet            ,  49 ,  29 ,   0.628 ,  49 , 321 ,   0.132 , 2.161
kitchen     , Floor             , 248 ,  36 ,   0.873 ,  40 , 112 ,   0.263 , 2.891
kitchen     , Fork              ,   3 ,  61 ,   0.047 ,   7 , 345 ,   0.020 , 1.294
kitchen     , Fridge            , 133 ,  56 ,   0.704 ,  25 , 208 ,   0.107 , 2.181
kitchen     , GarbageCan        ,  81 ,  28 ,   0.743 ,  23 , 288 ,   0.074 , 2.132
kitchen     , Knife             ,  24 ,  39 ,   0.381 ,  55 , 319 ,   0.147 , 1.427
kitchen     , Lettuce           ,  69 ,   1 ,   0.986 ,  12 , 344 ,   0.034 , 1.983
kitchen     , LightSwitch       ,  72 ,   8 ,   0.900 ,  15 , 322 ,   0.045 , 2.565
kitchen     , Microwave         ,  70 ,  23 ,   0.753 ,  18 , 304 ,   0.056 , 2.309
kitchen     , Mug               ,  37 ,  39 ,   0.487 ,  18 , 325 ,   0.052 , 1.691
kitchen     , Pan               ,  42 ,  29 ,   0.592 ,  33 , 318 ,   0.094 , 2.316
