| scene_type  | for    | class       |  TP | FN |  TP_rate |  FP |  TN |  FP_rate |  avg det |
|-------------+--------+-------------+-----+----+----------+-----+-----+----------+----------|
| kitchen     | target | SaltShaker  |  38 | 41 | 0.481013 |  50 | 317 | 0.136240 | 2.029399 |
| kitchen     | target | DishSponge  |  26 | 24 | 0.520000 |  27 | 341 | 0.073370 | 1.868989 |
| kitchen     | target | Mug         |  37 | 39 | 0.486842 |  18 | 325 | 0.052478 | 1.722366 |
| kitchen     | corr   | Bread       |  70 | 28 | 0.714286 |  31 | 297 | 0.094512 | 2.113790 |
| kitchen     | corr   | Lettuce     |  68 |  1 | 0.985507 |  13 | 344 | 0.036415 | 1.990603 |
| kitchen     | corr   | Microwave   |  68 | 23 | 0.747253 |  20 | 304 | 0.061728 | 2.449375 |
| kitchen     | corr   | GarbageCan  |  80 | 28 | 0.740741 |  24 | 288 | 0.076923 | 2.146102 |
| kitchen     | corr   | StoveBurner | 242 | 14 | 0.945312 | 138 | 278 | 0.331731 | 1.732698 |
|-------------+--------+-------------+-----+----+----------+-----+-----+----------+----------|
| living_room | target | CreditCard  |  24 | 36 | 0.400000 |  21 | 337 | 0.058659 | 1.641105 |
| living_room | target | GarbageCan  |  71 | 47 | 0.601695 |  24 | 278 | 0.079470 | 3.641513 |
| living_room | target | Laptop      |  60 | 35 | 0.631579 |  18 | 303 | 0.056075 | 2.694615 |
| living_room | corr   | Pillow      |  64 | 31 | 0.673684 |  12 | 311 | 0.037152 | 2.749840 |
| living_room | corr   | HousePlant  |  84 | 19 | 0.815534 |  30 | 292 | 0.093168 | 3.261840 |
| living_room | corr   | Painting    | 137 | 21 | 0.867089 |  20 | 262 | 0.070922 | 3.353564 |
| living_room | corr   | Television  |  87 | 16 | 0.844660 |  34 | 290 | 0.104938 | 2.474153 |
| living_room | corr   | FloorLamp   |  78 | 34 | 0.696429 |  24 | 280 | 0.078947 | 3.586244 |
|-------------+--------+-------------+-----+----+----------+-----+-----+----------+----------|
| bedroom     | target | CellPhone   |  40 | 43 | 0.481928 |  23 | 346 | 0.062331 | 1.649831 |
| bedroom     | target | Book        |  64 | 37 | 0.633663 |  24 | 330 | 0.067797 | 2.042013 |
| bedroom     | target | CD          |  33 | 36 | 0.478261 |  22 | 359 | 0.057743 | 1.592458 |
| bedroom     | corr   | DeskLamp    | 113 | 14 | 0.889764 |  18 | 305 | 0.055728 | 2.444946 |
| bedroom     | corr   | Laptop      |  85 | 28 | 0.752212 |  10 | 326 | 0.029762 | 2.096662 |
| bedroom     | corr   | Mirror      | 102 | 17 | 0.857143 |   6 | 323 | 0.018237 | 2.187369 |
| bedroom     | corr   | Pillow      | 133 | 12 | 0.917241 |  34 | 325 | 0.094708 | 2.706392 |
| bedroom     | corr   | GarbageCan  |  74 | 17 | 0.813187 |  12 | 344 | 0.033708 | 2.552600 |
|-------------+--------+-------------+-----+----+----------+-----+-----+----------+----------|
| bathroom    | target | SoapBar     |  49 | 22 | 0.690141 |  27 | 331 | 0.075419 | 1.436793 |
| bathroom    | target | Plunger     |  25 | 33 | 0.431034 |  24 | 343 | 0.065395 | 2.046129 |
| bathroom    | target | ScrubBrush  |  16 | 60 | 0.210526 |  20 | 326 | 0.057803 | 1.963239 |
| bathroom    | corr   | Towel       | 101 | 26 | 0.795276 |  14 | 285 | 0.046823 | 1.674387 |
| bathroom    | corr   | Toilet      | 126 | 22 | 0.851351 |  29 | 250 | 0.103943 | 1.786077 |
| bathroom    | corr   | HandTowel   |  79 | 12 | 0.868132 |  27 | 309 | 0.080357 | 2.015952 |
| bathroom    | corr   | Mirror      | 126 | 34 | 0.787500 |  20 | 262 | 0.070922 | 1.918279 |
| bathroom    | corr   | SprayBottle |  51 | 18 | 0.739130 |  32 | 326 | 0.089385 | 1.755695 |
|             |        |             |     |    |          |     |     |          |          |
